DTE | {'공시': 166, '계산(부채및자본-총자본)': 29, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(재작성 반영)': 1, '계산(부채및자본-총자본)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
XYL | {'공시': 197, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
FISV | {'공시': 195, '공시(비지배 없음)': 2, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
PPL | {'공시': 144, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
INCY | {'공시': 167, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2023Q4'] | 3s
CNP | {'공시': 136, '계산(부채및자본-총자본)': 29, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(재작성 반영)': 1, '계산(부채및자본-총자본)(재작성 반영)': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 ['2025Q3'] | 3s
EXPD | {'공시': 163, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 18, '계산(연간-3분기누적)(재작성 반영)': 2, '계산(연간-3분기누적)': 19, '계산(누적차감)(재작성 반영)': 4, '공시(재작성 반영)': 4} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
FFIV | {'공시': 138, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 28, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
DRI | {'공시': 163, '계산(누적차감)': 23, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 24} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 4s
HUBB | {'공시': 186, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 17, '계산(연간-3분기누적)(재작성 반영)': 4, '공시(재작성 반영)': 11} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
재작성 기록: {'재분류(미반영)': 85, '재작성 검증 실패(원 공시 유지)': 38, '재작성 반영': 76}
rows: 6600 | 빈 값: 0 | 빈 출처: 0
