EW | {'공시': 157, '공시(보통주 귀속)': 13, '계산(부채및자본-총자본)': 10, '공시(비지배 없음)': 17, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 17, '계산(연간-3분기누적, 보통주 귀속)': 4} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
ROK | {'공시': 143, '미확인': 27, '계산(누적차감)': 23, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 3, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
LHX | {'공시': 158, '미확인': 32, '계산(누적차감)': 21, '계산(부채및자본-총자본)': 15, '공시(비지배 없음)': 3, 'API': 29, '공시(표지 기준일)': 29, '계산(종가×주식수)': 29, '계산(연간-3분기누적)': 14} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 5s
XYZ | {'공시': 188, '공시(비지배 없음)': 9, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 24s
ADSK | {'공시': 137, '계산(부채및자본-총자본)': 30, '공시(비지배 없음)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
XEL | {'공시': 167, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
CARR | {'미확인': 44, '공시': 135, 'API': 26, '공시(표지 기준일)': 26, '계산(종가×주식수)': 26, '계산(누적차감)': 19, '계산(총자본-비지배)': 25, '계산(연간-3분기누적)': 14, '계산(연간(연결-비지배)-3분기누적)': 4, '계산(연결-비지배)': 11} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
IQV | {'공시': 193, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 21, '공시(비지배 없음)': 4} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
A | {'공시': 174, '계산(누적차감)': 23, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(연간-3분기누적)': 18, '미확인': 3, '공시(비지배 없음)': 16, '공시(지배지분 태그)': 6} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 2s
MNST | {'공시': 114, '공시(비지배 없음)': 41, '계산(부채및자본-총자본)': 30, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '공시(보통주 귀속)': 11, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간-3분기누적, 비지배 없음)': 7, '미확인': 1} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 1s
EXC | {'공시': 174, '계산(연결-비지배)': 15, 'API': 30, '공시(표지 기준일)': 30, '계산(종가×주식수)': 30, '계산(누적차감)': 22, '계산(연간-3분기누적)': 14, '계산(연간-3분기누적, 비지배 없음)': 2, '계산(연간(연결-비지배)-3분기누적)': 5, '공시(비지배 없음)': 8} | 검증실패 없음 | 라벨중복 없음 | 정정판본 없음 | 3s
rows: 6600 | 빈 값: 0 | 빈 출처: 0
